Parameter,Data_categories_A,Data_categories_B,Data_categories_C,Relationship to dynamic population model,Definition,Definition notes,Stratification,DataType,Calculations,Related parameters,Species_Sheep,Species_goats,DPM.V1.0_code,DPM.V2.0_code,code_notes,Modeling notes,AHLE: current,AHLE: ideal
Cull age,System characteristics,,,Input parameter,Age at which animals are assumed to be culled from the herd if still alive,Currently defined as 1/number of months alive eg if a female cow is assumed to live until 9 years old the cull rate for female cattle is 1/(12*9) = 0.00925925,"Sex, breed, production system",Floating number,,,1,1,"CullF, CullM, CullO","CullF, CullM, CullO",,,Fixed,Fixed
Change in current production,Disease effect (morbidity),,,Input parameter componant,Change in current production attributable to a specific cause,Change in production parameters due to disease. For more information see GBADs Technical Guide,,,,,1,1,,,,,,
Dry matter content,Inputs,Variable costs,Feed,Input parameter,Dry matter content of feed used/purchased,,,Floating number,,,1,1,DM_in_feed,DM_in_feed,,,Fixed,Fixed
Dry matter proportion,Inputs,Variable costs,Feed,Input parameter,Average dry matter (DM) requirement per animal as proportion of liveweight (lw),This is the mainentance DM requirement for the type of animal in the system not the curretn DM used by those animals,"Age, sex",Floating number,,,1,1,"DM_req_prpn_N,DM_req_prpn_N,DM_req_prpn_JF,DM_req_prpn_JM,DM_req_prpn_AF,DM_req_prpn_AM,DM_req_prpn_O","DM_req_prpn_N,DM_req_prpn_N,DM_req_prpn_JF,DM_req_prpn_JM,DM_req_prpn_AF,DM_req_prpn_AM,DM_req_prpn_O",,,Current estimate,As current
Feed purchase proportion,Inputs,Variable costs,Feed,Input parameter,"For those spending any money on feed, the proportion of feed that is purchased",,,Floating number,,Feed spend proportion,1,1,prpn_feed_paid_for,prpn_feed_paid_for,,,Fixed,Fixed
Feed spend proportion,Inputs,Variable costs,Feed,Input parameter,Proportion of livestock keepers that spend any money on feed,,,Floating number,,,1,1,prpn_lskeepers_purch_feed,prpn_lskeepers_purch_feed,,,Fixed,Fixed
Health costs,Inputs,Variable costs,Healthcare,Input parameter,Financial cost of animal health per animal per year,This cost includes medicines and veterinary expenditure,"Age, sex",,(health_exp_prev + health_exp_treatment) or direct,,1,1,Health_cost,Health_cost,,,Current estimate,Fixed
Infrastructure cost,Inputs,Fixed,Infrastructure,Input parameter,Infrastructure cost per head,,,,,,1,1,,,,,Fixed,Fixed
Labour expenditure,Inputs,Fixed; Variable,Labour,Input parameter,Average expenditure on labour per head over time period,May be fixed and or variable depending on nature of labour ie salaried/casual etc,"Age, sex",,Number animals * cost per head,,1,1,labour_cost,labour_cost,,,Current estimate,Derived from current
Non-health related labour expenditure,Inputs,Fixed; Variable,Labour,Input parameter,Proportion of labor spent on non-health related tasks,Total labour-healthcare labour,,,,,1,1,,,,,Current estimate,Fixed
Preventative health costs,Inputs,Variable costs,Healthcare,input parameter,Financial cost of preventative health care,,"Age, sex",,,,1,1,health_exp_prev,health_exp_prev,,,,
Treatment health costs,Inputs,Variable costs,Healthcare,input parameter,Financial cost of medicines,,"Age, sex",,,,1,1,health_exp_treatment,health_exp_treatment,,,,
Mortality rate,Mortality,,,Input parameter,Mortality due to direct loss from animal health issues including disease/injury etc as a proportion of the population in a given time period,"Mortality is a complex and multi-faceted parameter and may be defined differently depending on circumstances. In GBADs the parameter ""Mortality rate"" is used to refer to deaths caused directly by animal health-related causes including: disease, injury, predation, acute nutritional deficits (eg starvation), and environmental catastrophe (eg droughts, flooding etc). It does not include emergency slaughter/salvage slaughter as these included in offtake if they have financial value.","Sex, age, breed, production system",Floating number,,,1,1,"AlphaN, AlphaJ, AlphaF, AlphaM, AlphaO","AlphaN, AlphaJ, AlphaF, AlphaM, AlphaO",,,Current estimate,Fixed
Hides dead,Outputs,,,Input parameter,Number of usable skins per dead animal,Hides from dead animals not classified as offtake - ie culled animals,"Age, sex",floating number,,"culls, mortality",1,1,hides_rate_mor,hides_rate_mor,,,Fixed,Fixed
Hides sold or slaughtered,Outputs,,,Input parameter,Number of usable skins per animal removed as offtake,,"Age, sex",floating number,,offtake,1,1,hides_rate,hides_rate,,,Fixed,Fixed
Offtake,Outputs,Offtake,,Input parameter,"Net offtake, which includes animals sold or slaughtered for meat (i.e. removed from herd with financial value), as well as those removed from the herd as gifts","The net offtake is defined as the number of exits (sales, slaughter, gifts, etc.) – number of entries (purchases, gifts, etc.), as a proportion of herd size.","Age, sex",Floating number,((offtake_meat + Offtake_sale + Offtake_gifts) - (intake_purchase + intake_gifts))/average herd size,"mortality, Offttake_meat, Offtake_sold, Offtake_slaughter, Offtake_gifts, Intake, Intake_purchase, Intake_gifts",1,1,"NF, GammaNM, GammaJF, GammaJM, GammaAF, GammaAM, GammaO","NF, GammaNM, GammaJF, GammaJM, GammaAF, GammaAM, GammaO",,"Sales for meat from the different age/sex groups - currently only include sub-adult and adult animals, could alter for alternative systems eg veal calves; Adult male culls are included in offtake - need to ensure no double counting.",Fixed,Fixed
Offtake for fertility,Outputs,Offtake,,Input parameter,Proportion of adult female offtake_sold retained for fertility in the national herd,This parameter assumes that a proportion of female animals removed as offtake through sale from a herd will be sold to another produced for breeding rather than slughter and so will continute in the total populaion. ,,Floating number,,,1,1,.fert_offtake,.fert_offtake,,Not currently in use,,
Draught value,Prices,,,Input parameter,Financial value of draught work per animal per day in local economy,,,Floating number,,,1,1,draught_day_value,draught_day_value,,,,
Dry matter cost,Prices,,,Input parameter,Financial cost per kg dry matter,,,,,,1,1,?,?,,,Fixed,Fixed
Feed cost,Prices,,,Input parameter,Price per kg of dry matter feed in local economy,"Eg wheat, barley etc",,Floating number,,,1,1,Feed_cost_kg,Feed_cost_kg,,,,
Hides price,Prices,,,Input parameter,Financial value per hide,,,floating number,,,1,1,hides_value,hides_value,,,Current estimate,As current
Live animal price,Prices,,,Input parameter,Financial value of live animals,"Ideally stratified by age, sex, production system but populaton average acceptable if data not available","Age, sex",floating number,Mean value,Liveweight,1,1,"fvNF, fvNM, fvJF, fvJM, fvAF, fvAM, fvO","fvNF, fvNM, fvJF, fvJM, fvAF, fvAM, fvO",,,Current estimate,Derived from current
